col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020
Books,North,Retail,28.28,37.01,0.1159,188.76,609.5,13.415,0.2166,0,63,4.0,1,0,1,5.385,2.892,4.106,1.537
Sports,South,Retail,71.77,91.11,0.0702,201.32,574.32,10.617,0.3107,0,27,7.0,0,0,1,6.718,3.001,5.954,2.538
Sports,West,Retail,64.41,70.9,0.1099,178.93,529.36,5.02,0.1321,0,56,5.0,1,1,0,5.068,3.043,3.781,1.623
Books,South,Online,22.8,23.61,0.1324,131.25,413.56,8.039,0.5234,0,68,4.0,0,1,0,6.595,3.172,5.77,2.355
Sports,East,Online,54.16,440.41,0.3188,146.36,480.01,5.548,0.6811,1,59,2.0,0,0,0,4.666,2.998,2.643,1.133
Food,South,Online,22.16,21.87,0.2196,137.3,502.49,4.104,0.3149,0,29,2.0,0,1,0,5.533,3.751,4.651,1.582
Clothing,East,Online,45.09,59.64,0.1628,87.47,301.42,4.573,0.2872,0,50,6.0,0,1,0,6.738,2.853,6.207,2.471
Home,North,Online,65.12,72.35,0.2152,149.18,494.56,11.991,0.1709,0,42,5.0,0,0,0,5.593,2.554,4.151,1.354
Sports,West,Online,71.56,84.03,0.3037,117.85,351.97,12.657,0.2801,0,26,5.0,0,1,1,6.054,2.612,5.386,2.285
Books,East,Online,28.14,32.53,0.1475,175.74,553.55,7.37,0.3667,0,28,3.0,0,0,0,5.739,3.024,4.961,1.896
Home,North,Online,76.5,94.41,0.0617,175.86,566.15,8.593,0.2576,0,73,5.0,1,0,0,5.831,3.248,4.213,1.871
Books,North,Online,25.79,28.25,0.0981,167.95,504.7,13.176,0.3936,0,60,2.0,0,0,0,7.124,3.344,6.579,2.808
Clothing,East,Partner,22.1,20.48,0.2299,127.93,394.91,9.068,0.0401,0,72,4.0,0,0,1,6.819,3.665,6.065,2.522
Home,South,Online,68.33,65.27,0.3984,159.38,481.85,8.111,0.1697,0,70,3.0,1,0,1,8.256,3.063,7.718,2.918
Clothing,East,Online,39.01,58.64,0.0179,226.94,616.72,7.869,0.3987,0,65,5.0,0,1,0,6.372,3.416,5.696,2.045
Clothing,West,Partner,42.51,58.32,0.1464,142.79,440.03,9.652,0.4851,0,41,4.0,1,0,0,4.819,2.74,3.357,1.26
Electronics,West,Retail,381.4,450.39,0.097,179.38,559.98,11.514,0.3268,0,82,4.0,0,1,0,5.998,2.861,5.097,1.923
Home,East,Online,63.9,83.14,0.1495,218.11,678.61,10.157,0.1988,0,35,3.0,0,0,0,5.045,3.372,3.833,1.042
Electronics,North,Online,301.42,420.06,0.2118,165.42,487.03,6.908,0.408,0,31,3.0,0,0,0,6.523,2.973,5.71,2.0
Clothing,East,Retail,67.24,87.47,0.032,193.72,675.33,8.556,0.0923,0,60,7.0,0,1,1,4.412,2.855,3.206,1.579
Books,North,Online,21.64,28.39,0.0419,106.92,322.68,6.726,0.3909,0,65,3.0,0,1,1,5.209,3.073,3.76,1.537
Home,South,Partner,74.11,81.58,0.1896,176.83,509.12,4.593,0.1203,0,64,4.0,0,1,0,5.902,3.57,5.413,2.077
