date,financial_indicator,volume
2017-12-31,9999.0,6000.0
2018-01-31,104.93131549100238,5104.431797502378
2018-02-28,100.64653134762376,4020.164938060112
2018-03-31,103.82976996741095,4335.906975550784
2018-04-30,117.19113906995557,5098.430617934562
2018-05-31,98.92816340934226,5369.2332899977055
2018-06-30,98.61733316549041,5085.684140594985
2018-07-31,117.66109632123376,4942.17585880588
2018-08-31,106.09672324524747,4849.448152205356
2018-09-30,97.17045566964725,4260.739004816286
2018-10-31,108.72145736664062,4640.077895802646
2018-11-30,101.38988173917863,4769.680614520106
2018-12-31,97.31574968590834,5528.561113109457
2019-01-31,103.93090931451364,5171.809144784231
2019-02-28,83.33425861651187,4118.479922318633
2019-03-31,89.13086718089507,5162.041984697397
2019-04-30,99.55516343380941,4807.458859791842
2019-05-31,92.9446527917147,4661.538999847021
2019-06-30,109.51008891482918,5305.838144420434
2019-07-31,96.35939632422331,5515.499761247976
2019-08-31,94.37752281376568,5465.640059558099
2019-09-30,118.06402752361852,4580.391238388681
2019-10-31,102.62818569670223,4845.393812074392
2019-11-30,105.58301625158623,5165.631715701782
2019-12-31,87.0134781832146,5487.77256356118
2020-01-31,102.52165150604702,4760.412881077355
2020-02-29,109.25901051836395,4907.170511668091
2020-03-31,95.93894338215703,4446.832512996986
2020-04-30,110.51280989566682,4401.896687959665
2020-05-31,96.04905598420022,5406.262911197099
2020-06-30,103.55399268099382,5678.120014285411
2020-07-31,101.03662673308747,4963.994939209833
2020-08-31,123.73529367919689,5501.766448946012
2020-09-30,108.25675429543324,5180.818012523817
2020-10-31,100.77936194152751,4677.440122697438
2020-11-30,127.15510023837476,5180.697802754207
2020-12-31,98.66445256444898,5769.018283232985
