Date,Stock_A_Price,Stock_B_Price,Market_Index,Sector_Sentiment,Interest_Rate
2020-01-01,102.01,143.91,1037.85,0.1607598960483082,2.97
2020-01-02,99.45,145.86,953.89,0.8179670241190622,3.16
2020-01-03,102.62,155.71,1043.48,0.8321341779577419,3.16
2020-01-06,106.28,154.65,1067.78,0.5074677337608362,3.21
2020-01-07,99.07,149.84,1020.67,0.00638587171683358,3.81
2020-01-08,99.07,150.88,1093.84,0.2870381331749128,3.23
2020-01-09,106.52,159.9,961.31,0.6169269183757422,2.88
2020-01-10,103.12,145.63,937.77,0.9811861780274235,3.48
2020-01-13,98.14,154.16,911.06,0.6318135270166684,3.59
2020-01-14,102.19,148.49,1074.8,0.2598035810641598,2.39
2020-01-15,98.16,148.38,1032.72,0.6340057030996114,3.3
2020-01-16,98.15,158.47,997.22,0.5399853797158555,3.35
2020-01-17,100.97,156.32,1014.0,0.7798453951511436,2.85
2020-01-20,92.63,156.23,943.73,0.10698063882695841,3.69
2020-01-21,93.33,160.12,1122.29,0.761027902502028,2.92
2020-01-22,97.78,150.16,1006.46,0.5412665786761103,3.06
2020-01-23,96.03,155.2,1005.47,0.9629920038589946,2.91
2020-01-24,101.26,147.69,1036.29,0.3418721660386861,3.01
2020-01-27,96.43,152.45,1024.05,0.6326218931339481,2.45
2020-01-28,94.51,149.03,1011.19,0.9320281055100175,2.28
2020-01-29,106.04,150.73,960.48,0.10250972799067926,3.8
2020-01-30,99.1,154.53,1023.57,0.9372284872364511,2.58
2020-01-31,100.27,143.99,1094.1,0.6878857223008134,2.5
2020-02-03,94.46,166.54,1067.27,0.0678370591051719,1.92
2020-02-04,97.85,142.64,1079.66,0.30096356694681625,2.68
2020-02-05,100.44,141.16,974.44,0.7081720886452816,2.34
2020-02-06,95.5,158.94,950.52,0.0673506014687717,3.82
2020-02-07,101.51,156.06,993.71,0.5821704601762733,3.5
2020-02-10,97.63,154.75,1002.79,0.34588305695295674,2.66
2020-02-11,98.84,154.79,1054.71,0.6209155177674771,4.13
2020-02-12,97.62,149.91,915.38,0.04574203381251285,3.49
2020-02-13,107.69,143.42,1076.48,0.8715368061523763,2.84
2020-02-14,99.95,150.57,992.1,0.9734889691773969,1.75
2020-02-17,95.86,145.01,978.66,0.9688778552856915,4.15
2020-02-18,103.34,157.49,949.39,0.7496518317429247,2.31
2020-02-19,95.23,148.9,917.26,0.13008624013063197,2.18
2020-02-20,100.84,143.93,1041.16,0.7582631959290226,3.51
2020-02-21,92.46,147.61,1003.67,0.02458691645880151,4.22
2020-02-24,94.83,153.13,935.5,0.022123551528997254,3.69
2020-02-25,100.79,145.83,935.25,0.32361021914954125,3.28
2020-02-26,103.0,143.96,983.21,0.48864319040466575,3.3
