col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020
Home,West,Retail,92.28,98.92,0.1261,112.55,389.32,10.112,0.4217,0,68,2.0,0,1,1,5.735,3.235,4.537,1.673
Sports,East,Partner,58.26,53.23,0.212,180.44,547.44,4.921,0.2714,0,50,7.0,1,0,1,4.78,3.046,3.886,1.354
Books,West,Online,24.64,143.02,0.0901,171.85,517.48,6.349,0.3043,0,45,4.0,0,0,0,5.825,3.008,4.89,1.918
Electronics,West,Online,314.73,301.32,0.243,223.29,608.53,8.161,0.408,0,28,2.0,0,1,0,6.601,3.102,5.866,2.25
Food,East,Retail,14.64,13.78,0.2651,191.55,570.83,4.99,0.1091,0,74,4.0,1,1,1,6.743,3.234,6.259,2.234
Books,West,Retail,34.33,47.56,0.0437,230.33,709.73,6.008,0.227,0,44,4.0,0,0,0,4.16,3.526,2.724,1.054
Clothing,East,Online,43.0,45.17,0.0381,159.55,493.73,4.33,0.1783,0,40,3.0,1,0,0,5.296,3.506,4.024,1.414
Sports,West,Retail,48.2,54.93,0.1256,181.43,577.28,6.677,0.1278,0,65,5.0,1,0,0,5.131,3.074,4.381,1.782
Electronics,North,Retail,396.5,485.58,0.1299,160.6,518.95,5.577,1.0,1,37,3.0,0,0,0,5.462,2.788,4.761,1.758
Food,North,Online,23.09,26.98,0.1321,166.48,546.14,8.364,0.2154,0,76,10.0,0,1,1,6.154,3.282,5.243,1.85
Electronics,West,Retail,224.12,186.17,0.0899,145.24,503.14,5.938,0.4613,0,70,2.0,0,1,1,4.854,2.809,3.862,1.428
Home,South,Online,111.78,129.56,0.0655,144.42,487.02,5.463,0.4264,0,44,2.0,0,0,0,4.877,3.559,3.626,1.333
Clothing,South,Online,38.18,49.3,0.0655,105.99,337.88,4.077,0.2594,0,59,2.0,0,0,0,6.349,3.433,5.238,1.772
Sports,East,Online,74.75,89.85,0.162,146.06,468.78,3.534,0.4635,0,74,1.0,0,0,0,5.697,3.051,4.379,1.872
Electronics,North,Online,285.11,307.27,0.177,133.14,396.32,6.057,0.3612,0,52,4.0,0,1,0,4.833,2.821,3.721,1.551
Sports,North,Retail,49.08,67.14,0.1262,132.15,447.79,4.101,0.2324,0,82,1.0,0,0,0,6.878,3.286,5.964,2.429
Sports,West,Online,63.48,73.14,0.0477,108.44,351.38,7.253,0.3051,0,48,6.0,0,0,0,5.351,2.588,4.354,1.742
Sports,West,Online,66.63,82.32,0.0337,126.65,485.49,5.665,0.2837,0,71,6.0,1,1,0,4.934,3.298,3.733,1.722
Home,South,Retail,98.03,137.58,0.1056,170.62,517.17,3.797,0.1174,0,33,1.0,0,0,0,5.362,3.057,3.863,1.643
Home,South,Online,62.15,82.1,0.1564,193.37,566.18,6.928,0.249,0,81,5.0,1,1,1,6.688,3.685,5.619,2.039
Sports,East,Partner,61.25,61.33,0.0575,103.82,354.16,13.972,0.5995,1,76,2.0,0,1,0,7.021,2.39,6.3,2.278
Books,West,Online,24.9,25.46,0.0092,137.8,457.51,6.004,0.2161,0,38,3.0,1,0,1,7.065,3.458,6.639,2.926
Home,East,Partner,72.72,79.37,0.1659,161.99,448.45,8.267,0.1955,0,39,6.0,0,1,0,5.713,3.604,4.592,1.727
